platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,jynxzi,Jynxzi,411377640,1131467,74051,24732,2745,26889,1555824,Tom Clancy's Rainbow Six Siege,https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,stylishnoob4,stylishnoob4,50988750,1123162,29333,19310,3490,5063,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,handofblood,HandOfBlood,49140130,1061099,65310,19712,3230,15741,,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d2d10d39-d857-4f01-a1c2-447a9fbbc9bf-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,lacy,Lacy,494543675,1052449,32171,11695,5400,20167,2792996,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/701f5110-3812-42e0-8659-42dd8cf66e07-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,jasontheween,jasontheween,107117952,1045242,35461,15279,4105,19198,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,xrohat,xRohat,430023505,1030637,18175,6213,9955,7969,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/dc99030e-69b1-4e11-b381-e1507c991ff0-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,k3soju,k3soju,128293484,1012161,22407,15714,3865,2644,,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,hasanabi,HasanAbi,207813352,947771,40287,28649,1985,2168,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,shadowkekw,shadowkekw,465131731,945114,71556,30653,1850,10314,3786419,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/55a5e785-9c08-47f5-bcff-895224deb51f-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,ohnepixel,ohnePixel,43683025,940846,51044,20417,2765,9599,3078476,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-300x300.png,DE,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,caedrel,Caedrel,92038375,933225,66294,28715,1950,6402,986438,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,UK,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,squeezie,Squeezie,52130765,854757,97642,34078,1505,19364,,Dofus,https://static-cdn.jtvnw.net/jtv_user_pictures/1939615e-a34d-4fab-a035-8c3d8ffae278-profile_image-300x300.png,FR,fr,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,pgl_cs2,PGL_CS2,107953058,846510,58937,22228,2285,16102,4225202,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/7c8cda4d-4c4b-4163-9973-a9a94da29102-profile_image-300x300.png,RO,en,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,papaplatte,Papaplatte,50985620,826441,58658,29169,1700,6940,1915198,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,pietsmiet,PietSmiet,21991090,823671,79291,33169,1490,8680,,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/f1518fb2-01a7-4414-b34d-e2842d20cbef-profile_image-300x300.png,DE,de,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,paulinholokobr,PaulinhoLOKObr,531177917,821317,60751,37193,1325,10367,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,jonvlogs,JonVlogs,103989988,782031,26988,15016,3125,5174,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/00e7ebf9-89b9-41e1-b2bc-263b0ce805d0-profile_image-300x300.png,BR,pt,partner,Male,2024-12-02,2024-12-08,2024,49
